ts,lat,lon,time
1772119048821,34.086604,-118.00531,2026-02-26 15:17:28.821
1772119228755,34.086604,-118.00531,2026-02-26 15:20:28.755
1772119851819,34.086609,-118.005282,2026-02-26 15:30:51.819
1772120402357,34.086609,-118.005282,2026-02-26 15:40:02.357
1772149036643,34.086598,-118.005258,2026-02-26 23:37:16.643
1772149046638,34.086591,-118.005265,2026-02-26 23:37:26.638
1772149216367,34.086621,-118.005334,2026-02-26 23:40:16.367
1772149396168,34.086612,-118.005338,2026-02-26 23:43:16.168
1772149729282,34.086618,-118.005315,2026-02-26 23:48:49.282
1772149909915,34.086636,-118.005343,2026-02-26 23:51:49.915
1772150239128,34.086605,-118.005308,2026-02-26 23:57:19.128
1772150420063,34.086604,-118.005304,2026-02-27 00:00:20.063
1772150705872,34.086621,-118.005302,2026-02-27 00:05:05.872
1772150885690,34.086621,-118.005302,2026-02-27 00:08:05.690
1772151157716,34.086672,-118.005286,2026-02-27 00:12:37.716
1772151338298,34.086675,-118.005351,2026-02-27 00:15:38.298
1772151518119,34.08672,-118.005342,2026-02-27 00:18:38.119
1772151698037,34.08672,-118.005342,2026-02-27 00:21:38.037
1772151877771,34.086548,-118.005158,2026-02-27 00:24:37.771
1772152057466,34.086581,-118.005302,2026-02-27 00:27:37.466
1772152238183,34.086553,-118.005281,2026-02-27 00:30:38.183
1772152417873,34.086581,-118.005315,2026-02-27 00:33:37.873
1772152597491,34.086575,-118.00531,2026-02-27 00:36:37.491
1772152778309,34.086601,-118.005316,2026-02-27 00:39:38.309
1772152958022,34.086607,-118.005302,2026-02-27 00:42:38.022
1772153137809,34.086599,-118.005323,2026-02-27 00:45:37.809
1772153317413,34.086592,-118.005331,2026-02-27 00:48:37.413
1772153498268,34.086567,-118.005246,2026-02-27 00:51:38.268
1772153678035,34.08659,-118.00526,2026-02-27 00:54:38.035
1772153857544,34.086597,-118.005259,2026-02-27 00:57:37.544
1772154038267,34.086597,-118.005258,2026-02-27 01:00:38.267
1772154217893,34.086597,-118.005314,2026-02-27 01:03:37.893
1772154397553,34.086599,-118.005324,2026-02-27 01:06:37.553
1772154578179,34.086593,-118.005309,2026-02-27 01:09:38.179
1772154757820,34.086604,-118.005314,2026-02-27 01:12:37.820
1772154937600,34.086606,-118.005324,2026-02-27 01:15:37.600
1772155118138,34.086609,-118.005316,2026-02-27 01:18:38.138
1772155297856,34.086603,-118.005318,2026-02-27 01:21:37.856
1772155477568,34.086622,-118.00532,2026-02-27 01:24:37.568
1772155658201,34.086633,-118.005323,2026-02-27 01:27:38.201
1772155837908,34.086634,-118.005325,2026-02-27 01:30:37.908
1772156017830,34.086634,-118.005325,2026-02-27 01:33:37.830
1772156143483,34.086609,-118.005306,2026-02-27 01:35:43.483
1772156325331,34.086565,-118.005285,2026-02-27 01:38:45.331
1772156505064,34.086565,-118.005285,2026-02-27 01:41:45.064
1772156832537,34.086565,-118.005285,2026-02-27 01:47:12.537
1772157012351,34.086565,-118.005285,2026-02-27 01:50:12.351
